variable,threshold,direction,total_return,sharpe_ratio,max_drawdown,win_rate,total_trades
volatility_delta,-0.1,above,4.4059723499220915,1.223020179141225,0.3457370804089109,0.5113636363636364,1056
volatility_delta,0.1,below,4.2243212027602075,1.2026558545050752,0.3071382869531667,0.5113636363636364,1056
volatility_delta,-0.05,above,3.953347058416001,1.1801423435714675,0.34573708040891077,0.5072886297376094,1029
volatility_delta,0.05,below,5.061033172560396,1.3216188581165125,0.30713828695316703,0.5141187925998053,1027
volatility_delta,0.0,above,0.678957369018736,0.5597338314920726,0.311014395310514,0.5109090909090909,550
volatility_delta,0.0,below,2.246903753889477,1.2370820390129225,0.21805683118988112,0.5107632093933464,511
volatility_delta,0.05,above,-0.09754261896928595,-0.19854446651596863,0.16138144420826792,0.42857142857142855,35
volatility_delta,-0.05,below,0.10426829752533173,0.3759851392234394,0.09754678218825302,0.6363636363636364,33
volatility_delta,0.1,above,0.04699230980653124,0.3821630358240756,0.02498842013545355,0.5,6
volatility_delta,-0.1,below,0.011811339236313945,0.12168895413100114,0.041472752982340086,0.5,6
oi_delta,-0.1,above,3.701852016635523,1.1392401355701107,0.31759503110697557,0.5090562440419447,1049
oi_delta,0.1,below,3.94354277457684,1.1768016619234762,0.3202251526449767,0.5109211775878443,1053
oi_delta,-0.05,above,3.268864199275189,1.0973681840294585,0.3307115948083353,0.5070422535211268,994
oi_delta,0.05,below,4.225295174408927,1.2379755612684862,0.27640439076898915,0.513,1000
oi_delta,0.0,above,0.0008433720381706422,0.13982473707070553,0.5352968238793172,0.4953271028037383,535
oi_delta,0.0,below,4.253703644831392,1.5845663726325843,0.2874165431936121,0.5248091603053435,524
oi_delta,0.05,above,0.046797155122989764,0.1515162317920112,0.20697529983076052,0.4838709677419355,62
oi_delta,-0.05,below,0.28133008404855286,0.6794018203829502,0.09947669856517666,0.5735294117647058,68
oi_delta,0.1,above,0.10645833821420614,0.4151633970333297,0.05097596380991208,0.5555555555555556,9
oi_delta,-0.1,below,0.1633339594475698,0.9847867662339652,0.018888135172401607,0.6923076923076923,13
funding_delta,-0.1,above,4.469824123249149,1.2284146594487255,0.320225152644977,0.5112994350282486,1062
funding_delta,0.1,below,4.469824123249149,1.2284146594487255,0.320225152644977,0.5112994350282486,1062
funding_delta,-0.05,above,4.469824123249149,1.2284146594487255,0.320225152644977,0.5112994350282486,1062
funding_delta,0.05,below,4.469824123249149,1.2284146594487255,0.320225152644977,0.5112994350282486,1062
funding_delta,0.0,above,1.2672144103158813,0.8865707599839586,0.24135973354254986,0.5176470588235295,425
funding_delta,0.0,below,1.0088431269560658,0.7772939716867009,0.21727100885132314,0.514161220043573,459
funding_delta,0.05,above,0.0,0.0,0.0,0.0,0
funding_delta,-0.05,below,0.0,0.0,0.0,0.0,0
funding_delta,0.1,above,0.0,0.0,0.0,0.0,0
funding_delta,-0.1,below,0.0,0.0,0.0,0.0,0
